Model,Accuracy,Precision,Recall
Logistic Regression,0.9642857142857143,0.9646501457725947,0.9642857142857143
SVM,0.9785714285714285,0.9785579004329005,0.9785714285714285
KNN,0.9714285714285714,0.9715381717299723,0.9714285714285714
Random Forest,0.9642857142857143,0.9641842532467532,0.9642857142857143
